brand,fuel type,aspiration,body style,engine location,length,width,height,weight,engine capacity,compression ratio,horsepower,max rpm,city mpg,highway mpg,num cylinders,drive wheels
audi,gasoline,std,sedan,front,,168.7,137.9,1281.0,2.2286,8.0,115.0,5500.0,7.652,9.353,5,4wd
audi,gasoline,turbo,hatchback,front,452.6,172.5,132.1,1384.8,2.1467,7.0,160.0,5500.0,6.8020000000000005,9.353,5,4wd
subaru,gasoline,std,hatchback,front,399.5,162.1,141.5,1016.1,1.7698,8.7,73.0,4400.0,11.052999999999999,13.179,4,4wd
subaru,gasoline,std,sedan,front,436.9,166.1,137.9,1081.8,1.7698,9.0,82.0,4800.0,10.203,10.628,4,4wd
subaru,gasoline,turbo,sedan,front,436.9,166.1,137.9,1138.5,1.7698,7.7,111.0,4800.0,10.203,12.329,4,4wd
subaru,gasoline,std,wagon,front,440.9,166.1,139.4,1097.7,1.7698,9.0,82.0,4800.0,9.777999999999999,12.329,4,4wd
subaru,gasoline,turbo,wagon,front,440.9,166.1,139.4,1202.0,1.7698,7.7,111.0,4800.0,9.777999999999999,9.777999999999999,4,4wd
toyota,gasoline,std,wagon,front,431.0,161.5,150.1,1038.7,1.5076,9.0,62.0,4800.0,11.479000000000001,13.604000000000001,4,4wd
toyota,gasoline,std,wagon,front,431.0,161.5,150.1,1410.7,1.5076,9.0,62.0,4800.0,11.479000000000001,13.604000000000001,4,4wd
audi,gasoline,std,sedan,front,448.6,168.1,137.9,1060.1,1.7862,10.0,102.0,5500.0,10.203,12.754000000000001,4,fwd
audi,gasoline,std,sedan,front,450.3,168.4,134.9,1137.2,2.2286,8.5,110.0,5500.0,8.078,10.628,5,fwd
audi,gasoline,std,sedan,front,489.5,181.4,141.5,1290.0,2.2286,8.5,110.0,5500.0,8.078,10.628,5,fwd
audi,gasoline,std,wagon,front,489.5,181.4,141.5,1339.9,2.2286,8.5,110.0,5500.0,8.078,10.628,5,fwd
